Quincy Morgan,5,54
Lennox Gordon,11,54
Brian Moorman,6,54
T.Y. Hilton,6,54
Eric McCoo,8,54
Keshawn Martin,4,53
Dave M. Brown,10,53
Dashon Goldson,2,53
Baron Batch,18,53
Cody Pickett,10,53
Nate Washington,9,52
Dave Ragone,5,51
Wane McGarity,5,51
Patrick Crayton,4,50
Jason Tucker,5,50
Andrew Walter,7,50
Danny Kanell,10,50
Bradlee Van Pelt,8,50
Jon Witman,14,49
Brock Huard,7,49
David Bruton,2,48
Tommy Vardell,15,48
Craig Whelihan,10,48
Kevin Curtis,7,48
Andrew Sendejo,1,48
Bruce Miller,16,48
Troy Walters,5,48
Brandon Stokley,7,48
Koy Detmer,9,47
Stedman Bailey,3,46
Craig Krenzel,11,46
Tim Hasselbeck,8,46
Jacquez Green,7,46
MarQueis Gray,5,45
Marion Grice,13,45
Deion Branch,5,45
Brandon Banks,7,45
Tony Graziani,6,45
Dwight Stone,2,45
Brandon Gibson,5,44
Jameel Cook,11,44
Reggie D Brown,14,44
Austin Davis,6,44
Jeremy Ross,3,44
Jeff Lewis,5,44
Justin McCareins,5,43
Jim Miller,15,43
Dri Archer,7,43
Thomas Clayton,14,43
Walter Williams,5,42
Patrick Peterson,4,42
Harold Shaw,13,42
Quinten Lawrence,2,42
Chad Hall,10,42
Hunter Smith,4,42
Ty Hallock,11,42
Shaun McDonald,8,41
Delvin Joyce,12,41
Chris Redman,14,41
Ben Obomanu,4,41
John Clay,9,41
Terrance Copper,6,41
Kelly Holcomb,14,41
Chris Miller,7,40
Dallas Clark,4,40
Charles Grant,1,40
Troy Fleming,7,40
Harold Green,15,40
Greg Little,3,40
Derrick Harris,10,40
Damaris Johnson,5,39
Travaris Cadet,9,39
Charlie Jones,4,39
Ted Ginn,5,39
Matt Simms,5,39
Dan Orlovsky,6,39
Larry Izzo,1,39
Corey McIntyre,8,39
Matt Mauck,7,39
Kyle Johnson,9,39
Darius Reynaud,10,39
James White,9,38
Alex Van Pelt,10,38
Toby Gowin,2,38
Jon Ritchie,10,38
Jerome Woods,2,38
Jeremy Maclin,4,37
Larry Foster,4,37
Reggie Swinton,4,37
Scottie Montgomery,3,37
Odell Beckham,4,37
Sam Gash,13,37
Mike Archie,3,37
Chad Stanley,3,37
Johnny Manziel,6,37
Travis Williams,1,37
Louis Rankin,7,36
Tee Martin,6,36
Andre Hastings,4,36
Matt McCants,6,35
John Simon,9,35
Chris Givens,4,35
Raymond Ventrone,1,35
Matt McGloin,4,35
Jim Finn,8,35
Josh Vaughan,9,35
Jerry Ellison,10,34
Rod Gardner,4,34
Chris Floyd,10,34
Josh Aubrey,1,34
Keith Byars,4,34
Jamie Martin,8,33
Darius Watts,5,33
James Johnson,7,33
Henry Hynoski,10,33
Clint Stoerner,4,33
Jerry Rice,5,33
Avon Cobourne,6,33
Jeff Tuel,5,33
Marquise Goodwin,3,33
Davone Bess,4,33
Stanley Havili,10,33
Patrick Johnson,3,33
Greg McElroy,6,32
Eric Zeier,8,32
George Layne,3,32
Ran Carthon,11,32
Winslow Oliver,7,32
Moses Moreno,4,32
Kerry Carter,8,32
Jason Garrett,8,31
Brock Osweiler,4,31
Titus Young,4,31
David Reed,2,31
James Hodgins,11,31
Vaughn Hebron,9,31
MarTay Jenkins,3,31
Derrick Wimbush,5,30
Trey Watts,7,30
Rex Burkhead,7,30
James Wright,3,30
Jerry Porter,6,30
Michael Bates,5,30
Chad Jackson,3,30
Mike Tomczak,6,30
Owen Schmitt,8,30
Greg Lewis,6,29
Jesse Palmer,2,29
Jamaal Branch,10,29
Maurice Stovall,2,29
Tony Hunt,11,28
R. Jay Soward,2,28
Orleans Darkwa,4,28
John Tait,1,28
Roddy White,7,28
Ricky Proehl,3,28
Charles Johnson,4,28
Woodrow Dantzler,5,28
Xavier Omon,9,28
Bruce Ellington,5,28
Damon Gibson,3,28
Greg Salas,2,28
Clif Groce,8,27
Eric Metcalf,4,27
Tyler Palko,4,27
Marcus Thigpen,6,27
Blaine Bishop,1,27
Tony Fiammetta,7,26
Jim Sorgi,6,26
Sam Koch,3,26
Wade Wilson,6,26
Eric Shelton,7,26
Markus Wheaton,3,26
Ian Smart,2,26
Domenik Hixon,2,26
Danieal Manning,1,26
Rich Alexis,10,25
David Akers,2,25
Dameyune Craig,3,25
Michael Hill,7,25
Michael Lewis,3,25
Dave Meggett,4,25
Marlon Moore,2,25
David Terrell,2,25
Desmond Howard,5,25
Vernon Davis,3,24
T.J. Graham,3,24
Eric Weddle,5,24
Erik Kramer,8,24
Darnay Scott,3,24
Todd Collins,5,24
Charlie Adams,3,23
Patrick Jeffers,1,23
Justin Blackmon,2,23
Jeff Dugan,9,23
Aldrick Robinson,2,23
Chris Owusu,1,23
Austin Johnson,7,23
Cliff Russell,2,23
Frank Sanders,5,23
Naufahu Tahi,9,23
Matt Allen,2,23
Mike Gillislee,5,22
Kevin Ogletree,4,22
Collin Mooney,4,22
Jon Alston,1,22
Ed McCaffrey,2,22
Zurlon Tipton,5,22
Daniel Pope,1,22
Mark Bradley,1,22
Tab Perry,5,22
Chris Davis,3,22
Chris Crocker,1,21
Warren Moon,5,21
Darrell Jackson,4,21
Fred McCrary,8,21
Brett Kern,1,21
Andra Davis,4,21
Michael Jennings,1,21
Brad Maynard,1,20
Antonio Freeman,4,20
Fitzgerald Toussaint,4,20
Dino Philyaw,2,20
Michael Husted,1,20
Nate Clements,1,20
Keenan McCardell,5,20
Marvin Harrison,5,20
Taylor Gabriel,3,20
Chansi Stuckey,4,20
